cldae taxa	clade sizde	label	runtime	nodal dist
2370,2274,762,2523	4	I323	14.601953506469727	0
2205	1	2205	14.63040041923523	0
4848,5462,8625	3	I169	14.552979707717896	0
1965	1	1965	14.641513109207153	0
6421	1	6421	14.607706308364868	0
5624,6165,674,3914	4	I97	14.560876846313477	0
8611,1358	2	I257	14.589913129806519	0
4840	1	4840	14.62780475616455	0
2503,394,5892,5930	4	I457	14.533632516860962	0
5751	1	5751	14.613904237747192	0
6165	1	6165	14.590598106384277	0
4264,8426	2	I88	14.581905126571655	0
9973,8960,9778	3	I38	14.591267347335815	0
1043	1	1043	14.633554220199585	0
3392	1	3392	14.629037141799927	0
4947,2100,2272	3	I176	14.575851202011108	0
2328	1	2328	14.656381607055664	0
5796,7219,4887	3	I415	14.596080780029297	0
7722	1	7722	14.624566316604614	0
4385	1	4385	14.630708694458008	0
739,4736,8319,7521,685,3635,5751,1243,4637	9	I140	14.356307029724121	0
8078	1	8078	14.623885154724121	0
1472	1	1472	14.64242672920227	0
9593,9964,9283,8887,8848,9423,9070,9445,9938,8843,9434,9761,9572,9979,9122,9391,9940,9738,8930	19	I40	14.157957792282104	3
3619	1	3619	14.61594843864441	0
5897,2349,8005,8445,5653	5	I448	14.485246419906616	0
5568	1	5568	14.588036298751831	0
9764,9718,9534,9733	4	I17	14.545995473861694	0
1576	1	1576	14.624387264251709	0
9764	1	9764	14.591972589492798	0
5796,7219,4887,369,1862,6263,4284,1542,6221,7717,2501,1183	12	I406	14.379400730133057	2
3320	1	3320	14.605544090270996	0
7196,3195,4072	3	I390	14.561745405197144	0
7263,4956	2	I294	14.617035865783691	0
7320	1	7320	14.637643337249756	0
9734	1	9734	14.637333869934082	0
9778	1	9778	14.620685577392578	0
9293,9793,9864,8854,8895	5	I23	14.486891746520996	0
9340,9166	2	I30	14.619954586029053	0
5517,1556,4647,1147,6497	5	I484	14.525935888290405	0
5517,1556,4647,1147	4	I485	14.549268245697021	0
862	1	862	14.594497442245483	0
6395	1	6395	14.603469133377075	0
5892	1	5892	14.648576974868774	0
5868,8267,1908,6677,7494,4966	6	I231	14.504159450531006	1
