cldae taxa	clade sizde	label	runtime	nodal dist
3907,123	2	I195	3.596215009689331	0
5835,5943	2	I84	3.5983121395111084	0
7980,8682	2	I48	3.5806634426116943	0
7313	1	7313	1.7974371910095215	0
8532	1	8532	1.7962827682495117	0
8497	1	8497	1.7885286808013916	0
4267,4240,3907,123,4009,3460,244,1687,1188,4512,4104,4356,6043	13	I185	22.30118489265442	0
8004	1	8004	1.8205301761627197	0
3957,1606,179,6010	4	I182	7.18250298500061	0
6902	1	6902	1.8149738311767578	0
7603	1	7603	1.832045078277588	0
4556	1	4556	1.8119394779205322	0
5873,4089	2	I178	3.621053695678711	0
8975,8004,8831	3	I50	5.422635793685913	0
548,3035,400	3	I148	5.4254913330078125	1
5873	1	5873	1.8109307289123535	0
2668	1	2668	1.8224847316741943	0
2347,2668,5696	3	I165	5.409985780715942	0
4687	1	4687	1.8244218826293945	0
9742	1	9742	1.8295843601226807	0
4559	1	4559	1.8141636848449707	0
1687,1188,4512	3	I189	5.42564845085144	0
8421	1	8421	1.8141047954559326	0
2766	1	2766	1.8222277164459229	0
182	1	182	1.8135762214660645	0
1315,4953,3079,4731	4	I131	7.211566209793091	0
5470	1	5470	1.8128728866577148	0
4249	1	4249	1.8336668014526367	0
7991	1	7991	1.8188822269439697	0
2321,1369	2	I146	3.617678165435791	0
1586	1	1586	1.8180763721466064	0
1941	1	1941	1.8110778331756592	0
2517,4205,2766	3	I115	5.408529758453369	0
1694	1	1694	1.8224000930786133	0
8171,8137	2	I27	3.636012554168701	0
6810	1	6810	1.8142914772033691	0
2347	1	2347	1.8294470310211182	0
1515	1	1515	1.818695068359375	0
2595	1	2595	1.8081703186035156	0
6089,7400,8564	3	I45	5.428784132003784	0
4687,973,3154	3	I94	5.424236536026001	0
9404	1	9404	1.8250606060028076	0
6348	1	6348	1.8152501583099365	0
3079	1	3079	1.8261127471923828	0
973	1	973	1.8254449367523193	0
7928,9472,8683	3	I12	5.416863203048706	0
1706	1	1706	1.8250277042388916	0
6252	1	6252	1.81447434425354	0
9742,7991,9766,6902,9993	5	I16	8.995965242385864	0
2479	1	2479	1.8178417682647705	0
4267	1	4267	1.8108317852020264	0
8975	1	8975	1.8226807117462158	0
2788	1	2788	1.8136796951293945	0
3199,3293	2	I151	3.6168501377105713	2
1393	1	1393	1.82881760597229	0
2140	1	2140	1.8157718181610107	0
8775,8465,6788,6320,8421,6816	6	I32	10.733994245529175	0
4953	1	4953	1.8147666454315186	0
9120,9598,9452	3	I66	5.433965682983398	0
8532,8772,8971	3	I29	5.432929515838623	0
6816	1	6816	1.818462610244751	0
4627,5869	2	I97	3.6317057609558105	0
5696	1	5696	1.8234467506408691	0
9742,7991,9766	3	I18	5.434533357620239	0
7752,9580,9546	3	I62	5.42184853553772	0
8976,6465,9201,6488,8962,7642,9101,8612,8447,6600,6715,7776,6252,9314,9120,9598,9452,7752,9580,9546,6343,9450,8453,9563,8673,8333,8470,8526,9901,6646,8975,8004,8831,7980,8682,6333,6089,7400,8564,6348,6593,9648,6749,9277,7313,9631,8775,8465,6788,6320,8421,6816,8689,9514,8532,8772,8971,7603,8171,8137,9190,8497,9742,7991,9766,6902,9993,8978,6810,7928,9472,8683,6903,9871,6289,9818,7226,9404,7808,8595	80	I1	101.03084301948547	0
5086,3130,5243,4267,4240,3907,123,4009,3460,244,1687,1188,4512,4104,4356,6043,3957,1606,179,6010,4316,1586,5873,4089,5946,291,601,4931,1032,1484,4456,5084,677,4585,2347,2668,5696,2611,2559,3156,403,5807,2180,5470,2595,2459,4559,2628,5684,4470,3199,3293,548,3035,400,2321,1369,3636,4249,6068,5025,4573,2001,2579,4192,2479,1393,1315,4953,3079,4731,1626,2437,3243,2621,1654,2240,3784,5336,1449,1125,2140,1340,4488,5032,345,2517,4205,2766,4556,1694,4464,2788,2881,136,110,522,1394,3677,3706,1515,562,5127,2859,757,1282,4627,5869,652,4687,973,3154,1941,2481,3118,182,1706,3971,5835,5943	120	I80	117.58837461471558	0
1687	1	1687	1.826606273651123	0
2180	1	2180	1.8131861686706543	0
5243	1	5243	1.817831039428711	0
1484,4456,5084	3	I169	5.44389533996582	0
8775,8465	2	I36	3.6299147605895996	0
5946,291	2	I177	3.623631715774536	0
3156	1	3156	1.8159301280975342	0
8595	1	8595	1.8249437808990479	0
110	1	110	1.8239359855651855	0
7642,9101,8612,8447	4	I73	7.221812963485718	0
6749,9277,7313	3	I40	5.421627998352051	0
677	1	677	1.8270432949066162	0
1484,4456,5084,677,4585,2347,2668,5696	8	I164	14.195065021514893	0
4316	1	4316	1.8077340126037598	0
5032,345	2	I118	3.6282761096954346	0
9742,7991,9766,6902,9993,8978	6	I15	10.736576080322266	0
7808	1	7808	1.8281545639038086	0
1626,2437,3243,2621,1654,2240,3784,5336,1449,1125,2140,1340,4488,5032,345,2517,4205,2766,4556,1694,4464,2788,2881,136,110,522,1394,3677,3706,1515,562,5127,2859,757,1282,4627,5869,652,4687,973,3154,1941,2481,3118,182,1706,3971,5835,5943	49	I82	71.90681171417236	0
4585	1	4585	1.7984471321105957	0
4009,3460	2	I193	3.5500593185424805	0
6320	1	6320	1.783411979675293	0
6068,5025	2	I141	3.5734481811523438	0
1626,2437	2	I129	3.570974588394165	0
8564	1	8564	1.777723789215088	0
1340	1	1340	1.790299654006958	0
9120,9598	2	I67	3.560157299041748	0
9742,7991,9766,6902	4	I17	7.083804607391357	0
8976	1	8976	1.7785003185272217	0
2240	1	2240	1.7905707359313965	0
3957,1606	2	I184	3.6737282276153564	0
5684,4470,3199,3293	4	I150	7.224651336669922	0
2240,3784,5336,1449,1125	5	I122	9.036756753921509	0
6749,9277,7313,9631	4	I39	7.267359733581543	0
3957,1606,179	3	I183	5.465079069137573	0
5086,3130	2	I198	3.6390769481658936	0
6010	1	6010	1.8225111961364746	0
8775	1	8775	1.8405983448028564	0
9818	1	9818	1.8230888843536377	0
5807	1	5807	1.83909010887146	0
3154	1	3154	1.8311831951141357	0
