cldae taxa	clade sizde	label	runtime	nodal dist
1551,6892,6274,3057,671,6926,1219,9898,8295,5611,7266,4069,2146,432,2380,5173,8776,1633,3907,9700,7214,5518,1770,1762,6714,1766,3682,2021,7925,4980,6880,8263,650,5858,1141,7432,6282,5160,7018,6385,7710,7449,3146,5953,506,7048,5358,8696,7766,3393,7566,2561,9827,538,8394,1888,257	57	-	334.56037402153015	0
319,5085,5689,5564,5180,6760,3752,9045,7283,3031,1437,2644,2549,3761,4371,2077,6169,8190,8628,313,657,5150,3338,75,6916,5561,1549,8919,4403,395,6621,9785,1971,8094,5094,1110,173,6620,6713,2,6373,7673,6428,596,5555,366,194,4686,1420,1889,3532,2156,1579,3944,6212,7677	56	-	334.50540351867676	1
9134,684,528,4271,7974,3303,1150,6564,333,4726,6317,3553,2720,5083,5899,8679,935,361,123,8692,540,3166,5989,4032,8669,2386,4364,7022,4108,1999,1234,942,4826,7397,7057,8481,894,1543,5621,3951,4388,145,5656,2435,8134	45	-	335.14665055274963	0
6125,109,5185,8283,5032,1230,4959,9553,1487,1819,5117,5507,8179,5681,2686,9396,1979,5264,1744,7380,6111,3507,5341,9359,2363,3124,9508,7424,4228,3406,3143,6325,3472,584,883,2281,1997,3221,3510,464,4231,2382,3929	43	-	335.275039434433	0
4753,8066,8639,7119,4458,893,4741,8559,1494,5076,8821,8529,9112,4867,2851,6305,527,7903,281,695,1516,7181,8841,1366,2829,7191,2515,9841,3384,2201,29,5925,3826,876,2783,6223,58,263,116,9868,5911,6557	42	-	335.70361709594727	0
2339,4852,1086,7754,2349,4460,7573,4018,3315,345,3439,689,7532,2476,6660,3024,6768,7793,4213,7891,7769,6712,7525,5107,5388,5593,8670,306,2007,3213,813,4719,4028	33	-	342.17078280448914	0
5095,6186,2899,8101,7577,5499,3109,7943,8038,1295,3175,8764,916,9278,6534,5096,3257,3159,9611,6885,8395,2598,5498,1052,5885,6839,959,8734,6963,6210,2979,2493,483,7149,2833,8878,5135,9450,3837,5295,5306,3362,392,9132,8609,7302,1105,9519,4977,6371,7268	51	-	374.5749125480652	0
8338,860,3447,6303,446,4819,1140,2610,2214,1646,739,5308,7741,5778,344,9294,2487,5869,3765,8606,9244,6100,7465,7696,171,8535,2311,2107,4907,8332,3687,3017,750,283,5282,3040,4324,8876,7764,2865,1426,9665,8521,7183,3069,3285	46	-	373.7407593727112	0
4509,2727,2045,9015,6446,1998,1828,6899,6680,5649,3490,7322,5155,6097,1396,9316,6830,9840,9170,8726,6389,3792,8406,5977,8744,7582,1545,4571,7848,6979,25,8627,693,6258,2152,2695,7771,4053,3438,9606,9371,7392,250,6923,7748,2730,1914,9192,7711,2406,8728,2171,2815,3950,956	55	-	373.7217471599579	0
4549,5115,3984,2365,3937,4003,410,5749,6374,2669,2509,2182,1995,870,3013,4591,1615,3656,6687,4534,2721,8666,8905,3330,8690,1673,2502,4952,2464,497,69	31	-	374.1106424331665	0
256,1987,9361,4890,9685,7258,2771,7414,6364,1915,3397,4457,4766,4908,7836,8750,503,2091,8228,5207,7021,2521,4419,9001,481,9764,4664,6365,328,1023,465,6728,8388,2778,7929,1316,4078,1512,4269,7562,5784,5164,7847,5325,6107,8303,7831,1491,337,2759,3923,3,3349,5848,8909,8961,2939,17,536,3615,5215,7047,8968	63	-	373.2589101791382	0
694,6239,8164,3706,8562,7976,3677,1385,4362,5158,1087,3440,9617,1057,3702,4440,6177,9550,417,4944,137,1952,6236,2893,994,2787,841,2210,4569,2931,7628,9886,4405,6648,1278,5830,9744,7885,4220,8156,6268,2305,92,2628,6690,7325,8507,1,5773,6206,5907,6752,1805,752,2475,8889,1402	57	-	373.2421078681946	0
1313,2534,8436,1630,1721,4463,1357,865,928,3960,2703,1621,9000,7194,2813,5674,134,3897,6988,7207,9726,5831,5139,5260,1038,1988,2443,4507,8793,7070,3290,507,9335,8671,619,8534,5695,4950,7231,7436,7210,707,8209,3887,6296,7988,7744,2982,3029,1913,4484,8912,1718,701,1852,2050,9487,3302	58	-	372.8608388900757	0
3701,3550,2186,7286,8577,6413,8976,2138,6589,726,3224,9515,5445,9255,2217,2095,3042,753,9046,6072,6404,115,294,7602,1328,8341,7055,3011,1733,2495,3201,3654,213,9630,6933,9331,862,6943,5871,1118,1221,9328,740,9416,493,2935,2293,6637,2220,7355,3633,209,1683,128,3416,3554,6051,6292,8382,9580,5510,9545,6722,2684	64	-	373.2396218776703	0
9134,684,528,4271,7974,3303,1150,6564,333,4726,6317,3553,2720,5083,5899,8679,935,361,123,8692,540,3166,5989,4032,8669,2386,4364,7022,4108,1999,1234,942,4826,7397,7057,8481,894,1543,5621,3951,4388,145,5656,2435,8134,2245,3079,2043,3927,8204,403,4174,8644,9156,6578,557,7767,6462,9600,1335,7034	61	-	373.50252985954285	0
2909,2197,4677,3565,3077,7595,1372,7865,5822,7542,3156,7983,3236,3630,2463,901,4019,6083,653,4055,2655,6666,8636,761,9755,4015,2718,2711,8234,1881,8364,6527,1126,867,4331,1492,647,9776,1786,2506,9916,3080,5067,6065,9187	45	-	373.72124671936035	0
8633,8227,1542,9008,3508,4481,8136,2118,7893,2861,6377,3692,3832,749,2361,2175,6485,8251,1854,1201,1916,1035,936,5775,1348,6067,7981,7856,9289,8405,7722,3070,8465,2946,2209,8449,4087,931,3566,7867,9227,6622,3741,4209,8430,5248,5410,228,8927,7044,7192,6953,1870,1648,5046,2128,3622,7866,7830	59	-	373.37082600593567	0
6229,6719,3793,175,9332,951,3935,7203,9599,5039,5374,9163,2117,5794,2643,5347,4581,4225,4408,9004,4882,6450,1467,9277,8751,8212,9092,9504,4474,9867,5736,9131,3271,3423,2852,3394,8435,2130,1912,1174,5890,3757,5526,1510,7069,8767,7820	47	-	373.6865086555481	0
9238,7053,7264,2104,5332,5077,9851,9420,3451,5670,8597,4120,759,1169,2589,5950,9526,1081,6259,2651,1602,9751,4699,4947,9107,8585,3958,7413,1066,3629,2014,7828,8704,5156	34	-	373.57225942611694	0
3998,1682,944,5448,9598,8724,3324,4222,6526,6611,2918,5970,1724,2137,5114,549,8867,1756,4990,6937,227,2962,5659,3657,7637,8208,5687,4594,1381,5657,2615,6335,3174	33	-	374.2290244102478	0
8570,2889,5352,4185,6003,7488,2879,3229,2906,8680,1463,273,7913,9211,3267,5987,1741,670,3240,1247,1275,5503,3668,751,2454,1843,1496,4602,1108,4880,8113,5587,1127,8607,8175,1332,5868,3417,5476	39	-	373.9212703704834	0
4812,851,8642,5595,5842,5377,6991,985,64,1705,5279,8727,4842,6062,4585,5021,1969,9652,7447,226,7930,4745,1056,142,7348,2574,6514,8356,8808,7857	30	-	374.40059065818787	0
4499,4578,7547,8568,8033,2868,3791,6138,2047,1344,6393,9400,131,1511,2105,3613,2838,967,3522,7700,42,4415,2162,719,666,1026,5214,3852,2062,174,4663,4473,1599	33	-	374.00944113731384	0
9100,3401,9656,9775,4816,8755,6240,9023,9035,9821,6902,3047,3664,8715,4951,9836,4187,3862,74,6561,6793,7030,4469,9368,7892,5743,90,314,5012,3886,7889,2174,6165,6492,1900,5343,8224,7023,8806,9607,7534,7165,1338,3558,5165,7540,5169,6883,2413,3092,3485,2074,8309,8616	54	-	373.4514858722687	0
