cldae taxa	clade sizde	label	runtime	nodal dist
3045,3159,2746,1159	4	I95	3.2584280967712402	0
5685,5280	2	I34	1.6386396884918213	3
7537,5627	2	I48	1.6426615715026855	0
5685	1	5685	0.8245694637298584	0
1558	1	1558	0.8263566493988037	0
4684	1	4684	0.8320565223693848	0
67,2593	2	I98	1.6347565650939941	0
7412	1	7412	0.8260910511016846	0
8731	1	8731	0.8296663761138916	0
7999	1	7999	0.8230352401733398	0
4776	1	4776	0.8302342891693115	0
67,2593,3045,3159,2746,1159,2086,2047	8	I92	6.290729284286499	0
8163	1	8163	0.8259232044219971	0
9926,6744,8476	3	I55	2.447061777114868	0
5685,5280,8860	3	I33	2.4432480335235596	0
6020,8610,7261,7202,6284,5685,5280,8860,8033,8519,6352,8459,6363	13	I27	9.774579763412476	0
5451	1	5451	0.829824686050415	0
6020,8610,7261,7202,6284,5685,5280,8860,8033,8519	10	I30	7.723414421081543	0
3045	1	3045	0.8313169479370117	0
7417,7887	2	I3	1.6387639045715332	0
3202	1	3202	0.824310302734375	0
1899	1	1899	0.8309605121612549	0
7537	1	7537	0.8246865272521973	0
7277,9167,6527,6461	4	I24	3.2370243072509766	2
6363	1	6363	0.815100908279419	0
3558,3525,4888,1023,2645,1850,2516	7	I75	5.488556623458862	0
9926	1	9926	0.8186378479003906	0
2516	1	2516	0.8182318210601807	0
3284	1	3284	0.822648286819458	0
6243,8094,9641	3	I11	2.421956777572632	0
1576,1112,2698,1397,1133,3706,2186,3558,3525,4888,1023,2645,1850,2516,3052,3513,2223,4684,2598,3284,3202,1270,3304	23	I65	15.68713092803955	0
9359	1	9359	0.8182284832000732	0
