cldae taxa	clade sizde	label	runtime	nodal dist
370,1885,994,919,2482,14,2227,1861,1999,844,2704,2531,2899,304,1552,645,359,2652,1839,2176,807,1784,438,3017,2766,3022,2628,1350,611,96,2807	31	-	3661.93274474144	1
5974,7270,7220,7309,8345,3216,9079,8140,4778,9127,5777,5551,8961,6808,4084,9902,4742,4111,9723,9051,5414,3681,3426,7471,3812,6078,7705,6481,8556,8042,3578,5196,3724,9076,7546,8370,8150,8816,7880,8070,7427,5112,4323,8283,6502,9699,7241,9713,4859,7227,7094,4829,6555	53	-	6218.218556404114	0
6303,3826,3725,5728,8432,5129,6867,7137,3296,3227,7494,3734,7235,5748,4510,4100,8508,9305,7411,3604,4960,5938,9561,6177,4969,5778,9138,5187,6866,6855,7459,7884,8506,7904,6927,5328,8386,7362,6871,9231,3446,4941,4530,5827,7440,7046,3754,6825,7185,8865,4755,5920,8778,6682,3655	55	-	6442.140939712524	0
7418,9880,6277,9649,9836,5023,4623,5641,3377,6348,9301,7302,8793,5020,5609,3828,5694,6352,8182,7074,8160,5683,7106,9237,7555,8700,7258,9812,8963,4088,5831,6066,3225,6656,3438,8366	36	-	4217.596363782883	0
2638,1251,2475,3125,1940,248,3114,1068,2165,2316,618,526,2315,2186,544,1777,631,1915,3126,2591,2415,1558,1681,104,1260,3164,337,87,57,190,2509,2709,778,2518,2099	35	-	4116.970822811127	0
5720,4047,9779,7746,5377,4211,6145,9545,9653,4148,7529,8741,4656,5531,4274,9121,9671,6921,7428,4204,8730,4230,5335,4370,7219,9052,9993,6452,7188,8415,4722,4783,9365,5710,4898,9396,4873,5420	38	-	4465.289397954941	0
361,1210,2299,1934,97,506,1016,2690,511,2007,3192,1181,1325,713,968,178,1616,1938,3097,1456,1766,1245,2029,3147,2240,1665,308,1454,1657,1483,1293	31	-	3633.194005727768	0
6586,8902,9876,8028,8620,8036,7616,9817,7531,8252,6859,6977,9191,6722,5900,9678,9153,5686,6191,8853,9314,3208,8073,5097,3783,7431,7158,6658,8133,7999,8269,8852,6148,4950,5620,3875,4037,7745,7210,4652,6720,8085,8694,5053,9400,9921,7899,5676,6951,3532,9697,8436,8803,7594,4572,7949	56	-	6552.837795495987	0
8090,9220,7889,6188,4744,3395,4233,7900,7451,8751,8023,7852,6388,8841,3764,6984,3831,6176,9872,5703,6971,4484,7008,9303,7201,6234,8958,6434,5922,5010,9177,6762,8467,8888,4621,8665,4309,8385,8175,5040,3432,7519,9638,6704	44	-	5156.7478749752045	0
2762,2806,3196,145,1101,2909,2645,2646,148,106,2124,1441,219,422,1792,2185,2065,626,1114,2239,1130,2184,635,987,1632,743,3019,2553,2226,1674,979,552,1871,2602,2549,2434,890,1595,658	39	-	4587.376935958862	0
