cldae taxa	clade sizde	label	runtime	nodal dist
4848,4344,3176	3	I137	4.502105712890625	0
6065,6203,3608,5039,7897,7702,9948,7741,9131,3318,7240,6389,2920	13	I98	4.6634604930877686	0
5931,6322,8602,7712,6903	5	I126	4.794337034225464	0
2431	1	2431	4.87504506111145	0
2432	1	2432	4.877380847930908	0
8788,2896,5708	3	I11	4.835190773010254	0
3608	1	3608	4.867383003234863	0
1732,1390,518,853,1662	5	I189	4.797982215881348	0
7897,7702	2	I106	4.855088949203491	0
8601	1	8601	4.873136281967163	0
7816	1	7816	4.857500791549683	0
8241	1	8241	4.859108924865723	0
8345,5626	2	I31	4.849446058273315	0
278	1	278	4.877343416213989	0
6517,7789	2	I35	4.833094596862793	0
7816,5702,5290,8796,4690,5931,6322,8602,7712,6903,4774,4788	12	I123	4.642196178436279	0
808	1	808	4.8622307777404785	0
3882,9684,9045,2438	4	I25	4.802343130111694	0
8736,5171	2	I97	4.848158836364746	0
3615	1	3615	4.852274656295776	0
8788,2896,5708,3286,5419,8998,6895,7212	8	I6	4.699655532836914	0
5528	1	5528	4.850086688995361	0
3324	1	3324	4.84746241569519	0
7816,5702,5290,8796,4690,5931,6322,8602,7712,6903,4774,4788,3332,4944,7218	15	I120	4.592649221420288	0
1655,187,990,848,733	5	I166	4.788680076599121	0
7036,9456	2	I115	4.8430938720703125	0
3276	1	3276	4.865185737609863	0
5238	1	5238	4.860558032989502	0
8779,4286,7963	3	I80	4.832177639007568	0
639,273,1063,1708,34,808,935,1563	8	I175	4.734361171722412	0
2093,2940	2	I54	4.842562913894653	0
7897	1	7897	4.860832929611206	0
5555	1	5555	4.880314111709595	0
6153	1	6153	4.856228828430176	0
8804,2190	2	I119	4.848313331604004	0
1732,1390	2	I192	4.864781379699707	0
145,1155	2	I186	4.8549277782440186	1
8289,9095,4156,9767,5483	5	I61	4.757129192352295	1
