1	3
2	1
3	2
4	3
5	1
6	3
7	1
8	1
9	3
10	1
11	1
12	2
13	3
14	1
15	4
16	7
17	2
18	2
19	8
20	1
21	1
22	1
23	1
24	1
25	2
26	1
27	1
28	2
29	2
30	6
31	6
32	1
33	1
34	2
35	1
36	5
37	1
38	2
39	1
40	1
41	2
42	6
43	5
44	5
45	4
46	2
47	7
48	3
49	9
50	9
51	1
52	3
53	9
54	6
55	17
56	1
57	2
58	1
59	6
60	9
61	1
62	10
63	1
64	1
65	2
66	2
67	28
68	21
69	5
70	7
71	7
72	3
73	2
74	1
75	18
76	4
77	7
78	2
79	18
80	9
81	1
82	17
83	9
84	46
85	10
86	23
87	6
88	1
89	15
90	8
91	1
92	1
93	16
94	13
95	9
96	25
97	3
98	8
99	11
100	19
101	18
102	44
103	85
104	71
105	536
